year,site_name,site_name_2013_2018,site_name_1988_2001,site_abbr,region_3,region_4,event,bp_min,bp_max,fl_min,fl_max,total_nests,nonpred_eggs,nonpred_chicks,nonpred_fl,nonpred_ad,pred_control,pred_eggs,pred_chicks,pred_fl,pred_ad,pred_pefa,pred_coy_fox,pred_meso,pred_owlspp,pred_corvid,pred_other_raptor,pred_other_avian,pred_misc,total_pefa,total_coy_fox,total_meso,total_owlspp,total_corvid,total_other_raptor,total_other_avian,total_misc,first_observed,last_observed,first_nest,first_chick,first_fledge
2000,PITTSBURG POWER PLANT,Pittsburg Power Plant,NA_2013_2018 POLYGON,PITT_POWER,S.F._BAY,S.F._BAY,LA_NINA,15.0,15.0,16,18,15,3,0,0,0,,4,2,0,0,N,N,N,N,Y,Y,N,N,0,0,0,0,4,2,0,0,2000-05-11,2000-08-05,2000-05-26,2000-06-18,2000-07-08
2000,ALBANY CENTRAL AVE,NA_NO POLYGON,Albany Central Avenue,AL_CENTAVE,S.F._BAY,S.F._BAY,LA_NINA,6.0,12.0,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,ALAMEDA POINT,Alameda Point,NA_2013_2018 POLYGON,ALAM_PT,S.F._BAY,S.F._BAY,LA_NINA,282.0,301.0,200,230,312,124,81,2,1,,17,0,0,0,N,N,N,N,N,Y,Y,N,0,0,0,0,0,6,11,0,2000-05-01,2000-08-19,2000-05-16,2000-06-07,2000-06-30
2000,KETTLEMAN CITY,Kettleman,NA_2013_2018 POLYGON,KET_CTY,KINGS,KINGS,LA_NINA,2.0,3.0,1,2,3,,3,1,6,,,,,,,,,,,,,,,,,,,,,,2000-06-10,2000-09-24,2000-06-17,2000-07-22,2000-08-06
2000,OCEANO DUNES STATE VEHICULAR RECREATION AREA,Oceano Dunes State Vehicular Recreation Area,NA_2013_2018 POLYGON,OCEANO_DUNES,CENTRAL,CENTRAL,LA_NINA,4.0,5.0,4,4,5,2,0,0,0,,0,4,0,0,N,N,N,N,N,N,Y,N,0,0,0,0,0,0,4,0,2000-05-04,2000-08-30,2000-05-28,2000-06-20,2000-07-13
2000,RANCHO GUADALUPE DUNES PRESERVE,Rancho Guadalupe Dunes Preserve,NA_2013_2018 POLYGON,RGDP,CENTRAL,CENTRAL,LA_NINA,9.0,9.0,17,17,9,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,2000-05-07,2000-08-13,2000-05-31,2000-06-22,2000-07-20
2000,VANDENBERG SFB,Vandenberg AFB,NA_2013_2018 POLYGON,VAN_SFB,CENTRAL,CENTRAL,LA_NINA,30.0,32.0,11,11,32,,27,0,0,,0,3,0,0,N,N,N,N,N,Y,N,N,0,0,0,0,0,3,0,0,2000-05-07,2000-08-17,2000-05-28,2000-06-20,2000-07-15
2000,SANTA CLARA RIVER MCGRATH STATE BEACH,Santa Clara River,NA_2013_2018 POLYGON,S_CLAR_MCG,SOUTHERN,VENTURA,LA_NINA,21.0,21.0,9,9,22,4,3,,,,,,,,,,,,,,,,,,,,,,,,2000-06-06,2000-09-05,2000-06-06,2000-06-28,2000-07-24
2000,ORMOND BEACH,Ormond Beach,NA_2013_2018 POLYGON,ORMOND,SOUTHERN,VENTURA,LA_NINA,73.0,73.0,60,65,73,2,0,0,0,,,,,,N,N,Y,N,N,Y,N,N,,,,,,,,,,,2000-06-08,2000-06-26,2000-07-17
2000,NBVC POINT MUGU,NBVC Point Mugu,NA_2013_2018 POLYGON,PT_MUGU,SOUTHERN,VENTURA,LA_NINA,166.0,167.0,64,64,252,,,,,,,,,,,,,,,,,,,,,,,,,,2000-05-21,2000-08-12,2000-06-01,2000-06-24,2000-07-16
2000,VENICE BEACH,Venice Beach,NA_2013_2018 POLYGON,VEN_BCH,SOUTHERN,SOUTHERN,LA_NINA,274.0,294.0,150,200,308,26,,,,,32,20,20,3,Y,N,Y,N,Y,N,N,N,2,0,42,0,31,0,0,0,2000-04-19,2000-08-20,2000-05-29,,
2000,LA HARBOR,Port of LA,NA_2013_2018 POLYGON,LA_HARB,SOUTHERN,SOUTHERN,LA_NINA,437.0,437.0,570,570,565,77,,,,,24,,15,,Y,N,N,N,N,Y,Y,N,17,0,0,0,0,4,24,0,2000-04-28,2000-08-20,2000-05-10,3000-06-02,2000-06-22
2000,SEAL BEACH NWR ANAHEIM BAY,Seal Beach National Wildlife Refuge,NA_2013_2018 POLYGON,SEAL_BCH_NWR,SOUTHERN,SOUTHERN,LA_NINA,107.0,107.0,180,180,107,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BOLSA CHICA ECOLOGICAL RESERVE,Bolsa Chica,NA_2013_2018 POLYGON,BCER,SOUTHERN,SOUTHERN,LA_NINA,50.0,50.0,0,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,HUNTINGTON STATE BEACH,Huntington Beach State Park,NA_2013_2018 POLYGON,HSB,SOUTHERN,SOUTHERN,LA_NINA,400.0,400.0,435,435,481,74,4,0,0,,0,1,2,0,N,N,N,N,N,Y,N,N,0,0,0,0,0,3,0,0,2000-04-16,2000-08-18,2000-05-05,2000-05-28,2000-06-22
2000,UPPER NEWPORT BAY ECOLOGICAL RESERVE,Upper Newport Bay,NA_2013_2018 POLYGON,UNBER,SOUTHERN,SOUTHERN,LA_NINA,60.0,60.0,12,12,68,,,,,,,,,,N,N,N,N,Y,N,N,N,,,,,,,,,,,,,
2000,MCB CAMP PENDLETON,Camp Pendleton,NA_2013_2018 POLYGON,MCBCP,SOUTHERN,SOUTHERN,LA_NINA,1029.0,1029.0,1025,1145,1079,72,118,24,16,,21,30,23,41,Y,Y,Y,Y,Y,Y,Y,Y,34,4,3,14,8,1,7,44,2000-04-22,2000-09-07,2000-05-09,2000-06-01,2000-06-20
2000,BATIQUITOS LAGOON ECOLOGICAL RESERVE,Batiquitos Lagoon,NA_2013_2018 POLYGON,BLER,SOUTHERN,SOUTHERN,LA_NINA,136.0,155.0,38,54,172,10,35,3,6,,,,,,,,,,,,,,,,,,,,,,2000-04-23,2000-08-20,2000-05-18,2000-06-06,2000-06-26
2000,SAN ELIJO LAGOON ECOLOGICAL RESERVE,San Elijo Lagoon,NA_2013_2018 POLYGON,SAN_ELIJO,SOUTHERN,SOUTHERN,LA_NINA,15.0,15.0,7,11,16,1,0,0,0,,7,5,0,1,Y,Y,Y,N,Y,Y,N,N,2,3,5,0,2,1,0,0,2000-05-09,2000-08-26,2000-05-18,2000-06-08,2000-07-04
2000,MISSION BAY FAA ISLAND,FAA Island,NA_2013_2018 POLYGON,MB_FAA,SOUTHERN,SOUTHERN,LA_NINA,173.0,173.0,200,200,187,28,,,,,,,,,N,N,N,N,Y,N,Y,N,,,,,,,,,,,,,
2000,MISSION BAY NORTH FIESTA ISLAND,North Fiesta Island,NA_2013_2018 POLYGON,MB_NFI,SOUTHERN,SOUTHERN,LA_NINA,15.0,26.0,8,10,26,8,0,0,1,,0,4,4,3,N,N,Y,Y,N,Y,N,N,0,0,1,3,0,7,0,0,2000-05-06,2000-07-21,2000-05-13,2000-06-03,2000-06-24
2000,MISSION BAY MARINERS POINT,Mariner's Point,NA_2013_2018 POLYGON,MB_MAR_PT,SOUTHERN,SOUTHERN,LA_NINA,282.0,407.0,150,200,420,32,11,1,0,,245,2,,0,Y,N,Y,N,N,Y,Y,N,1,0,244,0,0,1,1,0,2000-05-04,2000-08-13,2000-05-10,2000-05-31,2000-06-25
2000,SDIA LINDBERGH FIELD,Lindbergh Field/Former Naval Training Center,NA_2013_2018 POLYGON,SDIA_LF,SOUTHERN,SOUTHERN,LA_NINA,25.0,26.0,24,24,27,7,1,0,0,,,,,,N,N,N,N,N,Y,Y,N,,,,,,,,,2000-05-04,2000-08-24,2000-05-13,2000-06-04,2000-06-24
2000,NAS NORTH ISLAND,Naval Base Coronado,NA_2013_2018 POLYGON,NASNI,SOUTHERN,SOUTHERN,LA_NINA,128.0,128.0,85,85,134,20,3,1,0,,,,,,,,,,,,,,,,,,,,,,2000-04-28,2000-08-14,2000-05-09,2000-06-02,2000-06-21
2000,NAVAL AMPHIBIOUS BASE CORONADO,Naval Base Coronado,NA_2013_2018 POLYGON,NAB,SOUTHERN,SOUTHERN,LA_NINA,541.0,541.0,320,320,629,67,19,2,0,,12,8,21,11,Y,N,Y,N,N,Y,Y,Y,23,0,1,0,0,2,2,24,2000-04-26,2000-09-06,2000-05-10,2000-06-02,2000-06-25
2000,DSTREET FILL SWEETWATER MARSH NWR,D Street Fill,NA_2013_2018 POLYGON,D_ST,SOUTHERN,SOUTHERN,LA_NINA,28.0,31.0,27,30,34,8,2,0,1,,2,18,0,1,N,N,N,Y,N,Y,N,N,0,0,0,,0,,0,,2000-04-21,2000-08-31,2000-05-11,2000-06-03,2000-06-26
2000,CHULA VISTA WILDLIFE RESERVE,Chula Vista Wildlife Refuge,NA_2013_2018 POLYGON,CV,SOUTHERN,SOUTHERN,LA_NINA,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2000-04-28,2000-08-05,,,
2000,SOUTH SAN DIEGO BAY UNIT SDNWR SALTWORKS,Saltworks,NA_2013_2018 POLYGON,SALT,SOUTHERN,SOUTHERN,LA_NINA,35.0,39.0,17,17,44,9,3,0,0,,26,27,0,4,Y,Y,N,Y,N,Y,Y,N,,,0,,0,,,,2000-04-28,2000-09-01,2000-05-19,2000-06-09,2000-06-30
2000,TIJUANA ESTUARY NERR,Tijuana Estuary,NA_2013_2018 POLYGON,TJ_RIV,SOUTHERN,SOUTHERN,LA_NINA,178.0,178.0,79,99,210,56,7,1,0,,7,149,5,9,Y,N,Y,Y,N,Y,Y,Y,,0,,,0,,,,2000-04-28,2000-09-15,2000-05-13,2000-06-03,2000-06-24
